Value,CL_AGE,Code
12,None,0
2,JIN,2
4,JIR,2
21,7030,5
34,5010,2
1,30,1
5,50,2
11,70,3
3,10,1
6,VIN,4
13,90,4
7,VIR,4
35,7010,5
27,7050,3
26,3030,1
22,5030,2
23,5050,2
19,9030,5
31,9070,4
53,9090,4
17,120,4
30,5090,5
25,5070,2
50,12050,5
49,12010,5
28,7070,3
46,12030,5
41,3050,1
14,9050,5
36,3010,1
43,9010,5
33,3090,5
18,JIN30,1
9,VIN10,4
8,JIN10,1
20,VIN50,4
37,7090,3
29,3070,5
57,12070,4
10,VIN30,4
55,12090,4
42,1050,1
51,1090,5
54,1010,1
40,30120,5
52,50120,5
60,1070,5
59,1030,1
65,12012,4
56,90120,4
15,30JIN,1
16,90JIN,5
24,JIN70,5
32,10JIN,1
38,30VIN,5
39,50VIN,5
44,70JIN,5
45,JIN90,5
47,VINJI,5
48,10VIN,5
58,70120,3
61,JINVI,5
62,120VI,4
63,120JI,5
64,12JIN,5
66,JIN12,5
67,70VIN,3
68,VIN70,4
